year,source,word,n,doc,tf,idf,tf_idf
2021,ecosurvey,normal,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,opted,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,original,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,packages,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,peg,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,portion,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,ramping,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,resulted,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,series,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,sized,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,slowly,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,society,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,stabilised,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,switched,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,views,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,vulnerable,2,2021 ecosurvey,0.0044444444444444444,2.6390573296152584,0.011729143687178926
2021,ecosurvey,economy,6,2021 ecosurvey,0.013333333333333334,0.8472978603872037,0.011297304805162717
2021,ecosurvey,fiscal,15,2021 ecosurvey,0.03333333333333333,0.3364722366212129,0.011215741220707096
2021,prs,revised,38,2021 prs,0.01694915254237288,0.5596157879354227,0.009485013354837672
2021,prs,revenue,41,2021 prs,0.018287243532560213,0.44183275227903923,0.008079903141588138
2021,prs,estimated,38,2021 prs,0.01694915254237288,0.44183275227903923,0.007488690716593885
2021,prs,budgeted,24,2021 prs,0.010704727921498661,0.6931471805599453,0.00741995197744812
2021,prs,expenditure,49,2021 prs,0.021855486173059768,0.3364722366212129,0.007353764315093413
2021,prs,annualised,6,2021 prs,0.0026761819803746653,2.6390573296152584,0.007062597670692038
2021,prs,tax,35,2021 prs,0.015611061552185548,0.44183275227903923,0.006897478291599631
2021,prs,estimate,27,2021 prs,0.012042818911685994,0.5596157879354227,0.006739351594226767
2021,prs,grants,21,2021 prs,0.00936663693131133,0.6931471805599453,0.006492457980267106
