budget_year,fy_start,budget_type,fm_name,fm_party,fm_party_family,pm_name,government_coalition,full_url,pdf_filename,download_status,word_count
1957-58,1957,full,T.T. Krishnamachari,INC,INC,Jawaharlal Nehru,Nehru-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs195758.pdf,bs195758.pdf,success,13214
1971-72,1971,interim,NA,NA,NA,NA,NA,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs197172(I).pdf,bs197172_I_.pdf,failed_404,no_pdf
1988-89,1988,full,N.D. Tiwari,INC,INC,Rajiv Gandhi,Rajiv-I,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs198889.pdf,bs198889.pdf,success,16182
2004-05,2004,interim,Jaswant Singh,BJP,BJP,Atal Bihari Vajpayee,NDA-II,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs200405(I).pdf,bs200405_I_.pdf,success,5038
1957-58,1957,interim,NA,NA,NA,NA,NA,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs195758(I).pdf,bs195758_I_.pdf,success,2122
1972-73,1972,full,Yashwantrao Chavan,INC,INC,Indira Gandhi,Indira-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs197273.pdf,bs197273.pdf,success,9090
1989-90,1989,full,S.B. Chavan,INC,INC,Rajiv Gandhi,Rajiv-I,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs198990.pdf,bs198990.pdf,success,13215
2005-06,2005,full,P. Chidambaram,INC,INC,Manmohan Singh,UPA-I,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs200506.pdf,bs200506.pdf,success,14257
1958-59,1958,full,Morarji Desai,INC,INC,Jawaharlal Nehru,Nehru-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs195859.pdf,bs195859.pdf,success,8282
1973-74,1973,full,Yashwantrao Chavan,INC,INC,Indira Gandhi,Indira-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs197374.pdf,bs197374.pdf,success,10259
1990-91,1990,full,Madhu Dandavate,Janata Dal,Other,V.P. Singh,National Front,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs199091.pdf,bs199091.pdf,success,13508
2006-07,2006,full,P. Chidambaram,INC,INC,Manmohan Singh,UPA-I,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs200607.pdf,bs200607.pdf,success,13197
1959-60,1959,full,Morarji Desai,INC,INC,Jawaharlal Nehru,Nehru-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs195960.pdf,bs195960.pdf,success,10806
1974-75,1974,full,Yashwantrao Chavan,INC,INC,Indira Gandhi,Indira-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs197475.pdf,bs197475.pdf,success,7907
1991-92,1991,full,Yashwant Sinha,Janata Dal,Other,Chandra Shekhar,Chandra Shekhar,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs199192.pdf,bs199192.pdf,success,18712
1991-92,1991,full,Manmohan Singh,INC,INC,P.V. Narasimha Rao,Rao,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs199192.pdf,bs199192.pdf,success,18712
2007-08,2007,full,P. Chidambaram,INC,INC,Manmohan Singh,UPA-I,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs200708.pdf,bs200708.pdf,success,13236
1960-61,1960,full,Morarji Desai,INC,INC,Jawaharlal Nehru,Nehru-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs196061.pdf,bs196061.pdf,success,9775
1974-75,1974,special,NA,NA,NA,NA,NA,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs197475(july).pdf,bs197475_july_.pdf,success,4517
1991-92,1991,interim,NA,NA,NA,NA,NA,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs199192(I).pdf,bs199192_I_.pdf,success,2492
1961-62,1961,full,Morarji Desai,INC,INC,Jawaharlal Nehru,Nehru-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs196162.pdf,bs196162.pdf,success,12851
1975-76,1975,full,C. Subramaniam,INC,INC,Indira Gandhi,Indira-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs197576.pdf,bs197576.pdf,success,11955
1992-93,1992,full,Manmohan Singh,INC,INC,P.V. Narasimha Rao,Rao,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs199293.pdf,bs199293.pdf,success,14430
1962-63,1962,full,Morarji Desai,INC,INC,Jawaharlal Nehru,Nehru-IV,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs196263.pdf,bs196263.pdf,success,7860
1976-77,1976,full,C. Subramaniam,INC,INC,Indira Gandhi,Indira-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs197677.pdf,bs197677.pdf,success,12785
1993-94,1993,full,Manmohan Singh,INC,INC,P.V. Narasimha Rao,Rao,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs199394.pdf,bs199394.pdf,success,13027
1962-63,1962,interim,NA,NA,NA,NA,NA,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs196263(I).pdf,bs196263_I_.pdf,success,4172
1977-78,1977,full,H.M. Patel,Janata,Other,Morarji Desai,Janata,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs197778.pdf,bs197778.pdf,success,11999
1994-95,1994,full,Manmohan Singh,INC,INC,P.V. Narasimha Rao,Rao,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs199495.pdf,bs199495.pdf,success,13115
NA,NA,full,NA,NA,NA,NA,NA,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs.pdf,bs.pdf,success,6611
2012-13,2012,full,Pranab Mukherjee,INC,INC,Manmohan Singh,UPA-II,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs201213.pdf,bs201213.pdf,success,14251
2013-14,2013,full,P. Chidambaram,INC,INC,Manmohan Singh,UPA-II,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs201314.pdf,bs201314.pdf,success,6611
2014-15,2014,full,Arun Jaitley,BJP,BJP,Narendra Modi,NDA-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs201415.pdf,bs201415.pdf,success,16564
2015-16,2015,full,Arun Jaitley,BJP,BJP,Narendra Modi,NDA-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs201516.pdf,bs201516.pdf,success,18073
