fm_name,party,fy_start,budget_year,s_socialist,s_capitalist,s_nationalist,s_globalist,axis_market_z,axis_nationalist_z
Arun Jaitley,BJP,2017,2017-18,0.003850136849508461,0.008602207141478496,0.001876154961463021,7.691979227807349e-4,0.9239797206228915,0.018470736886739912
Arun Jaitley,BJP,2018,2018-19,0.003927428135461012,0.005605795150227816,0.0032092959240449994,2.6353457996436804e-4,0.3077801026321231,0.9863825621464399
Nirmala Sitharaman,BJP,2019,2019-20,0.0023666389627850773,0.007236147693236889,0.0018349713814249605,7.232381113126534e-4,0.9475231515931536,0.020984854820726928
Nirmala Sitharaman,BJP,2020,2020-21,0.002658594339187641,0.006983883127709134,0.0014540231425366071,0.0011702236019792477,0.8384208440257315,-0.4148238090022556
Nirmala Sitharaman,BJP,2021,2021-22,0.007111731403163226,0.01030894945100584,0.009992375279251595,2.705571617149271e-4,0.6122712463634039,4.553170751843642
Nirmala Sitharaman,BJP,2022,2022-23,0.002719170099742624,0.004672021837436335,0.0055768392815102805,0.0011663903451135835,0.36280733400683174,1.7573664220122458
Nirmala Sitharaman,BJP,2023,2023-24,0.0014378028079447115,0.0055659490739160935,0.004687537038755773,0.0010169433561476226,0.7988987639387919,1.3679206027806463
Nirmala Sitharaman,BJP,2024,2024-25,0.005973946637683913,0.00791666790631164,0.0019757751476943424,0.003227554942574111,0.36077643166995865,-1.2231237422961605
Nirmala Sitharaman,BJP,2025,2025-26,0.002596790598746085,0.012362237046415224,0.0025602254840755992,0.0028928270800431394,1.929034598527931,-0.7392857147060935
Nirmala Sitharaman,BJP,2026,2026-27,0.00240483179502084,0.008656352259798784,0.003135964775900702,8.012527452406664e-4,1.2245814834973932,0.6647377549528382
