doc_id,budget_year,fy_start,budget_type,fm_name,fm_party,fm_party_family,topic,prevalence,topic_num
bs199495,1994-95,1994,full,Manmohan Singh,INC,INC,topic_10,0.054360567606658305,10
bs199899,1998-99,1998,full,Yashwant Sinha,BJP,BJP,topic_1,1.1191194907032109e-4,1
bs199899,1998-99,1998,full,Yashwant Sinha,BJP,BJP,topic_2,0.133252467480608,2
bs199899,1998-99,1998,full,Yashwant Sinha,BJP,BJP,topic_3,9.179476961849608e-5,3
bs199899,1998-99,1998,full,Yashwant Sinha,BJP,BJP,topic_4,4.208770784590509e-6,4
bs199899,1998-99,1998,full,Yashwant Sinha,BJP,BJP,topic_5,0.0023275289429931243,5
bs199899,1998-99,1998,full,Yashwant Sinha,BJP,BJP,topic_6,0.6493816682242604,6
bs199899,1998-99,1998,full,Yashwant Sinha,BJP,BJP,topic_7,4.321003240643015e-4,7
bs199899,1998-99,1998,full,Yashwant Sinha,BJP,BJP,topic_8,0.0018724884857078453,8
bs199899,1998-99,1998,full,Yashwant Sinha,BJP,BJP,topic_9,0.0013198214877883602,9
bs199899,1998-99,1998,full,Yashwant Sinha,BJP,BJP,topic_10,0.2112060095651044,10
bs197576,1975-76,1975,full,C. Subramaniam,INC,INC,topic_1,5.443759289894991e-5,1
bs197576,1975-76,1975,full,C. Subramaniam,INC,INC,topic_2,8.737838153441145e-5,2
bs197576,1975-76,1975,full,C. Subramaniam,INC,INC,topic_3,0.5832609456492189,3
bs197576,1975-76,1975,full,C. Subramaniam,INC,INC,topic_4,0.001606455898892974,4
bs197576,1975-76,1975,full,C. Subramaniam,INC,INC,topic_5,0.41418765745249253,5
bs197576,1975-76,1975,full,C. Subramaniam,INC,INC,topic_6,1.836529805114853e-4,6
bs197576,1975-76,1975,full,C. Subramaniam,INC,INC,topic_7,3.2476329367363917e-4,7
bs197576,1975-76,1975,full,C. Subramaniam,INC,INC,topic_8,5.5706947007495234e-5,8
bs197576,1975-76,1975,full,C. Subramaniam,INC,INC,topic_9,4.9364542192430584e-5,9
bs197576,1975-76,1975,full,C. Subramaniam,INC,INC,topic_10,1.8963726157706636e-4,10
bs198384,1983-84,1983,full,Pranab Mukherjee,INC,INC,topic_1,1.5594754047954198e-4,1
bs198384,1983-84,1983,full,Pranab Mukherjee,INC,INC,topic_2,5.719348742219792e-4,2
bs198384,1983-84,1983,full,Pranab Mukherjee,INC,INC,topic_3,0.005635839630815497,3
bs198384,1983-84,1983,full,Pranab Mukherjee,INC,INC,topic_4,0.057749488673139206,4
bs198384,1983-84,1983,full,Pranab Mukherjee,INC,INC,topic_5,0.9134516149746225,5
bs198384,1983-84,1983,full,Pranab Mukherjee,INC,INC,topic_6,5.63929043340658e-5,6
bs198384,1983-84,1983,full,Pranab Mukherjee,INC,INC,topic_7,0.021658810590086057,7
bs198384,1983-84,1983,full,Pranab Mukherjee,INC,INC,topic_8,1.5876580106445406e-4,8
bs198384,1983-84,1983,full,Pranab Mukherjee,INC,INC,topic_9,2.9133868152031682e-5,9
bs198384,1983-84,1983,full,Pranab Mukherjee,INC,INC,topic_10,5.320711430844003e-4,10
bs201213,2012-13,2012,full,Pranab Mukherjee,INC,INC,topic_1,9.131501186283465e-5,1
bs201213,2012-13,2012,full,Pranab Mukherjee,INC,INC,topic_2,0.002132917189757008,2
bs201213,2012-13,2012,full,Pranab Mukherjee,INC,INC,topic_3,0.0013974963190159747,3
bs201213,2012-13,2012,full,Pranab Mukherjee,INC,INC,topic_4,1.9181744209310943e-4,4
bs201213,2012-13,2012,full,Pranab Mukherjee,INC,INC,topic_5,0.09550525623061724,5
bs201213,2012-13,2012,full,Pranab Mukherjee,INC,INC,topic_6,0.49138177374668346,6
bs201213,2012-13,2012,full,Pranab Mukherjee,INC,INC,topic_7,7.745438115947367e-5,7
bs201213,2012-13,2012,full,Pranab Mukherjee,INC,INC,topic_8,2.9665314866570737e-4,8
bs201213,2012-13,2012,full,Pranab Mukherjee,INC,INC,topic_9,0.4082009531078038,9
bs201213,2012-13,2012,full,Pranab Mukherjee,INC,INC,topic_10,7.243634223413589e-4,10
bs201718,2017-18,2017,full,Arun Jaitley,BJP,BJP,topic_1,0.004586872570938913,1
bs201718,2017-18,2017,full,Arun Jaitley,BJP,BJP,topic_2,0.04237337637409185,2
bs201718,2017-18,2017,full,Arun Jaitley,BJP,BJP,topic_3,1.0113717860705734e-4,3
bs201718,2017-18,2017,full,Arun Jaitley,BJP,BJP,topic_4,3.3146352732089024e-4,4
bs201718,2017-18,2017,full,Arun Jaitley,BJP,BJP,topic_5,5.240499718995447e-4,5
bs201718,2017-18,2017,full,Arun Jaitley,BJP,BJP,topic_6,0.00441490320237767,6
