word,full,interim,rate_interim,rate_full,log_ratio,n_total
sales,113,0,3.051944088384301e-5,2.9736017521981076e-4,-3.2844110060681713,113
cvd,111,0,3.051944088384301e-5,2.9212034834369074e-4,-3.258762418697561,111
protection,111,0,3.051944088384301e-5,2.9212034834369074e-4,-3.258762418697561,111
kaal,13,5,3.357138497222731e-4,3.536883141381009e-5,3.2466815976965724,18
empowering,18,7,4.577916132576451e-4,4.846839860411012e-5,3.2395747112023128,25
aspirations,23,9,5.798693767930171e-4,6.156796579441015e-5,3.2354761429886922,32
annas,109,0,3.051944088384301e-5,2.868805214675707e-4,-3.2326495783784295,109
intention,109,0,3.051944088384301e-5,2.868805214675707e-4,-3.2326495783784295,109
postal,108,0,3.051944088384301e-5,2.842606080295107e-4,-3.2194137512217353,108
dignity,16,6,3.967527314899591e-4,4.3228571727990106e-5,3.1981830800053825,22
transformation,16,6,3.967527314899591e-4,4.3228571727990106e-5,3.1981830800053825,22
prescribed,106,0,3.051944088384301e-5,0.00027902078115339067,-3.192572139003094,106
uniform,105,0,3.051944088384301e-5,2.764008677153307e-4,-3.1789617074844414,105
cenvat,104,0,3.051944088384301e-5,2.737809542772707e-4,-3.165221650858139,104
metric,104,0,3.051944088384301e-5,2.737809542772707e-4,-3.165221650858139,104
profits,310,1,9.155832265152902e-5,8.13483122517632e-4,-3.1513494762765815,311
procedure,103,0,3.051944088384301e-5,2.7116104083921066e-4,-3.1513494762765815,103
finalised,14,5,3.357138497222731e-4,3.798874485187009e-5,3.143588104732469,19
pakistan,101,0,3.051944088384301e-5,2.6592121396309064e-4,-3.1231984359624323,101
trusts,101,0,3.051944088384301e-5,2.6592121396309064e-4,-3.1231984359624323,101
doubled,28,10,6.409082585607032e-4,7.466753298471018e-5,3.1015648898367627,38
corporate,296,1,9.155832265152902e-5,7.76804334384792e-4,-3.084788312602104,297
vision,67,24,0.0014954526033083074,1.7684415706905045e-4,3.080031728287121,91
metals,98,0,3.051944088384301e-5,2.5806147364891064e-4,-3.0799143382336327,98
suraksha,12,4,2.7467496795458707e-4,3.274891797575008e-5,3.0682062928903315,16
societies,97,0,3.051944088384301e-5,2.5544156021085066e-4,-3.065192832526867,97
input,96,0,3.051944088384301e-5,2.528216467727906e-4,-3.0503195560453364,96
modvat,96,0,3.051944088384301e-5,2.528216467727906e-4,-3.0503195560453364,96
slabs,96,0,3.051944088384301e-5,2.528216467727906e-4,-3.0503195560453364,96
husbandry,15,5,3.357138497222731e-4,4.06086582899301e-5,3.047372789473166,20
assisting,18,6,3.967527314899591e-4,4.846839860411012e-5,3.0331238337348863,24
viksit,18,6,3.967527314899591e-4,4.846839860411012e-5,3.0331238337348863,24
pursued,24,8,5.188304950253311e-4,6.418787923247016e-5,3.0148904783578754,32
nil,281,1,9.155832265152902e-5,7.375056328138918e-4,-3.0098911301363294,282
penalty,93,0,3.051944088384301e-5,2.449619064586106e-4,-3.0047569786648927,93
concessional,279,1,9.155832265152902e-5,7.322658059377718e-4,-2.99960449089929,280
assessees,92,0,3.051944088384301e-5,2.423419930205506e-4,-2.989243979293568,92
accrue,90,0,3.051944088384301e-5,2.371021661444306e-4,-2.9577084058604615,90
certificates,90,0,3.051944088384301e-5,2.371021661444306e-4,-2.9577084058604615,90
polyester,90,0,3.051944088384301e-5,2.371021661444306e-4,-2.9577084058604615,90
sabka,28,9,5.798693767930171e-4,7.466753298471018e-5,2.9571749805015877,37
communities,22,7,4.577916132576451e-4,5.894805235635014e-5,2.9571749805015877,29
canal,13,4,2.7467496795458707e-4,3.536883141381009e-5,2.9571749805015877,17
macroeconomic,13,4,2.7467496795458707e-4,3.536883141381009e-5,2.9571749805015877,17
concession,269,1,9.155832265152902e-5,7.060666715571717e-4,-2.9470414808086054,270
invest,89,0,3.051944088384301e-5,2.3448225270637058e-4,-2.9416782960415127,89
taxed,89,0,3.051944088384301e-5,2.3448225270637058e-4,-2.9416782960415127,89
waste,89,0,3.051944088384301e-5,2.3448225270637058e-4,-2.9416782960415127,89
simplify,88,0,3.051944088384301e-5,2.3186233926831057e-4,-2.925468068860254,88
leadership,38,12,7.629860220960752e-4,1.0086666736531025e-4,2.919207130302567,50
voluntary,87,0,3.051944088384301e-5,2.2924242583025056e-4,-2.909073630609585,87
loss,432,2,1.5259720441921504e-4,0.0011331125619609527,-2.8924907464139804,434
aluminium,85,0,3.051944088384301e-5,2.2400259895413054e-4,-2.875715033663154,85
undivided,85,0,3.051944088384301e-5,2.2400259895413054e-4,-2.875715033663154,85
anganwadi,14,4,2.7467496795458707e-4,3.798874485187009e-5,2.854081487537484,18
hours,14,4,2.7467496795458707e-4,3.798874485187009e-5,2.854081487537484,18
labourers,14,4,2.7467496795458707e-4,3.798874485187009e-5,2.854081487537484,18
modi,14,4,2.7467496795458707e-4,3.798874485187009e-5,2.854081487537484,18
