word,es_tf,bs_tf,year,shared
investment,0.003529087400055142,0.0026835345984282154,2007,0.0026835345984282154
revenue,0.002867383512544803,0.0026835345984282154,2007,0.0026835345984282154
sector,0.007419283850482568,0.008266051518646674,2008,0.007419283850482568
growth,0.012669370304002012,0.005959246443675509,2008,0.005959246443675509
rate,0.005014304127762583,0.0057670126874279125,2008,0.005014304127762583
plan,0.004857115910591342,0.006343713956170703,2008,0.004857115910591342
development,0.003866830142412525,0.005574778931180315,2008,0.003866830142412525
increase,0.0036624854600899115,0.0036524413687043446,2008,0.0036524413687043446
scheme,0.0030337325914049484,0.00980392156862745,2008,0.0030337325914049484
rural,0.0028922631959508315,0.0038446751249519417,2008,0.0028922631959508315
capital,0.004747084158571473,0.0028835063437139563,2008,0.0028835063437139563
credit,0.003112326699990569,0.0028835063437139563,2008,0.0028835063437139563
financial,0.003363827847464554,0.0028835063437139563,2008,0.0028835063437139563
april,0.004086893646452262,0.002691272587466359,2008,0.002691272587466359
sector,0.007600732600732601,0.00700560448358687,2009,0.00700560448358687
growth,0.010897435897435897,0.005404323458767014,2009,0.005404323458767014
financial,0.005167451596023024,0.0050040032025620495,2009,0.0050040032025620495
rate,0.003950811093668237,0.0050040032025620495,2009,0.003950811093668237
global,0.0038199895342752484,0.004203362690152122,2009,0.0038199895342752484
scheme,0.00380690737833595,0.0050040032025620495,2009,0.00380690737833595
services,0.0043563579277864995,0.0038030424339471577,2009,0.0038030424339471577
public,0.003715332286760858,0.004803843074459567,2009,0.003715332286760858
development,0.003466771323914181,0.005804643714971977,2009,0.003466771323914181
investment,0.0032967032967032967,0.0038030424339471577,2009,0.0032967032967032967
increase,0.003061224489795918,0.004603682946357086,2009,0.003061224489795918
fiscal,0.0028388278388278387,0.0040032025620496394,2009,0.0028388278388278387
growth,0.010932467107059016,0.006359895248784137,2010,0.006359895248784137
sector,0.005664137140361413,0.009539842873176206,2010,0.005664137140361413
development,0.00386253207402959,0.006921062476618032,2010,0.00386253207402959
financial,0.00386253207402959,0.005237560793116348,2010,0.00386253207402959
services,0.0052683299666976035,0.003554059109614665,2010,0.003554059109614665
scheme,0.0035486160397444995,0.004676393565282455,2010,0.0035486160397444995
food,0.0036578042255827918,0.0029928918817807705,2010,0.0029928918817807705
tax,0.0029344324944041056,0.010101010101010102,2010,0.0029344324944041056
policy,0.002920783971174319,0.004489337822671156,2010,0.002920783971174319
fiscal,0.002866189878255173,0.0054246165357276464,2010,0.002866189878255173
increase,0.002866189878255173,0.003367003367003367,2010,0.002866189878255173
expenditure,0.0027570016924168806,0.003367003367003367,2010,0.0027570016924168806
sector,0.006924256643852863,0.007193041150886584,2011,0.006924256643852863
development,0.0048183670199372815,0.005352960856473737,2011,0.0048183670199372815
services,0.007519399363655092,0.004349280695884911,2011,0.004349280695884911
rate,0.003971433149449493,0.004014720642355303,2011,0.003971433149449493
http,0.0037654222079794904,0.005520240883238541,2011,0.0037654222079794904
financial,0.004932817542976172,0.00351288056206089,2011,0.00351288056206089
growth,0.01096436010712569,0.00351288056206089,2011,0.00351288056206089
scheme,0.0032389498020005954,0.004349280695884911,2011,0.0032389498020005954
credit,0.003124499278961705,0.0031783205085312814,2011,0.003124499278961705
production,0.00306727401744226,0.0038474406155904984,2011,0.00306727401744226
food,0.003147389383569483,0.003011040481766477,2011,0.003011040481766477
fiscal,0.002792592762148923,0.0036801605888256944,2011,0.002792592762148923
sector,0.007935671528538909,0.007093368525239195,2012,0.007093368525239195
development,0.0047740494056150405,0.005278785879247773,2012,0.0047740494056150405
services,0.0072928083635443895,0.004453975585615309,2012,0.004453975585615309
rate,0.004394654750864177,0.00511382382052128,2012,0.004394654750864177
http,0.0038150240283281343,0.0059386341141537445,2012,0.0038150240283281343
growth,0.01167692437399882,0.003794127350709337,2012,0.003794127350709337
increase,0.003056234718826406,0.004453975585615309,2012,0.003056234718826406
food,0.0030351572380069134,0.0031342791158033654,2012,0.0030351572380069134
fiscal,0.0028138436894022427,0.003794127350709337,2012,0.0028138436894022427
investment,0.0028033049489924965,0.003299241174529858,2012,0.0028033049489924965
capital,0.0027506112469437654,0.003299241174529858,2012,0.0027506112469437654
economy,0.0027189950257145265,0.0029693170570768723,2012,0.0027189950257145265
growth,0.012583755515607125,0.01237432327919567,2013,0.01237432327919567
sector,0.008797733834504549,0.004640371229698376,2013,0.004640371229698376
rate,0.0046440050117121535,0.004253673627223511,2013,0.004253673627223511
gdp,0.0037996404641281257,0.0038669760247486465,2013,0.0037996404641281257
financial,0.003772402898077028,0.006187161639597835,2013,0.003772402898077028
development,0.004507817181456665,0.0034802784222737818,2013,0.0034802784222737818
inflation,0.003527264803617149,0.0034802784222737818,2013,0.0034802784222737818
capital,0.0034591708884894046,0.0038669760247486465,2013,0.0034591708884894046
billion,0.004276297870022335,0.0030935808197989174,2013,0.0030935808197989174
credit,0.0030506073977229395,0.0030935808197989174,2013,0.0030506073977229395
food,0.0030506073977229395,0.0034802784222737818,2013,0.0030506073977229395
period,0.0030506073977229395,0.005027068832173241,2013,0.0030506073977229395
