doc_id,s_socialist,s_capitalist,s_globalist,s_nationalist,s_agrarian,s_industrial,axis_market,axis_nationalist,budget_year,fy_start,budget_type,fm_name,fm_party_family,words_clean,party,axis_market_z,axis_nationalist_z
bs200203,0.009567047869134052,0.019497401231839327,0.0048827182921274415,0.0036680858877924387,0.004100542826423998,0.003964391078933144,0.009930353362705275,-0.0012146324043350028,2002-03,2002,full,Jaswant Singh,BJP,15492,BJP,1.962094256173793,-1.2035700581546445
bs201516,0.006640593520511016,0.005850639866633663,2.2822495972606784e-4,0.0010879458472811767,0.003837856973903604,0.0035616780404622767,-7.899536538773537e-4,8.597208875551089e-4,2015-16,2015,full,Arun Jaitley,BJP,17557,BJP,-0.18705564302293187,-0.11166969926796462
bs199697,0.008895573451984459,0.011664666997805584,0,0.0018216214216912716,0.004005109297446923,0.004323284838150398,0.0027690935458211247,0.0018216214216912716,1996-97,1996,full,P. Chidambaram,INC,11728,INC,0.5264431325845844,0.3946565579529314
bs199798,0.003849925971090835,0.009645447034574867,0.002737222217183571,0.0014820772602476867,0.0018669474907524277,0.004567228137827414,0.005795521063484032,-0.0012551449569358844,1997-98,1997,full,P. Chidambaram,INC,11791,INC,1.1331651587775269,-1.2248950999868442
bs201415,0.005355790059748545,0.009513921503836687,0,0.001028113719372411,0.00665724920460546,0.006068363032960294,0.004158131444088143,0.001028113719372411,2014-15,2014,full,Arun Jaitley,BJP,16025,BJP,0.8049100323126687,-0.02303089592906022
Budget_Speech_2021-22,0.007111731403163226,0.01030894945100584,2.705571617149271e-4,0.009992375279251595,0.005913926195507711,0.002727437898053854,0.0031972180478426135,0.009721818117536668,2021-22,2021,full,Nirmala Sitharaman,BJP,16146,BJP,0.6122712463634039,4.553170751843642
bs197980,0.006824025066566674,0.0024296369661958393,0.0020509509998199987,0.0028430411319385006,0.011633018619747476,0.00653368965448596,-0.004394388100370835,7.92090132118502e-4,1979-80,1979,full,Charan Singh,Other,12789,Other,-0.9096534114786391,-0.14726925042529
bs198182,0.006882256083246288,0.003215888392786976,0,0.0027086566427338555,0.0060269969255984535,0.008216711158611854,-0.003666367690459312,0.0027086566427338555,1981-82,1981,full,R. Venkataraman,INC,11770,INC,-0.7637037676713975,0.8615751296293089
bs198485,0.005536632592846587,0.0033833387685214913,0.0029463184598443933,0.0015681776191317307,0.007624534126412645,0.005708349615380826,-0.0021532938243250953,-0.0013781408407126626,1984-85,1984,full,Pranab Mukherjee,INC,11762,INC,-0.46037079951577536,-1.28963780806965
bs201819,0.003927428135461012,0.005605795150227816,2.6353457996436804e-4,0.0032092959240449994,0.011316917670361278,0.0026994028411086715,0.0016783670147668033,0.0029457613440806315,2018-19,2018,full,Arun Jaitley,BJP,16990,BJP,0.3077801026321231,0.9863825621464399
bs196162,0.0018432299620766053,0.004226814256580653,0,6.849783259910427e-4,9.345266845955629e-4,0.006885402545728609,0.002383584294504048,6.849783259910427e-4,1961-62,1961,full,Morarji Desai,INC,12631,INC,0.44915829668147883,-0.2036508803090817
bs197778,0.0051582516678059355,0.004094914813917053,0,0.0013041720504124964,0.007388220430147239,0.005277724573858681,-0.0010633368538888821,0.0013041720504124964,1977-78,1977,full,H.M. Patel,Other,11775,Other,-0.24186204696621635,0.12228099087189612
bs200102,0.01177412316772116,0.02103111022354961,0.001441513481169191,0.001971171600357024,0.005231612473547804,0.004198437310803006,0.00925698705582845,5.296581191878329e-4,2001-02,2001,full,Yashwant Sinha,BJP,14699,BJP,1.8271013750643006,-0.2854085009679267
bs197677,0.013246256637201567,0.0033392957415205875,0,0.0030460579620755317,0.0036086913816077482,0.006433505145242979,-0.00990696089568098,0.0030460579620755317,1976-77,1976,full,C. Subramaniam,INC,12689,INC,-2.0147845657477683,1.0391768058328492
bs197172,0.01190724443270847,0.0025968901064387325,0.002389131510893123,0.001599531984946774,0.0029604842065401467,0.005009468792034603,-0.009310354326269739,-7.89599525946349e-4,1971-72,1971,full,Yashwantrao Chavan,INC,9937,INC,-1.895180066872231,-0.979840785872228
bs19992000,0.007032805694045831,0.016767863564440703,0.001538459616546112,0.003750616105419182,0.00483751773953756,0.004456231029719839,0.009735057870394873,0.0022121564888730703,1999-00,1999,full,Yashwant Sinha,BJP,12791,BJP,1.922942458845299,0.6002268345691624
bs200607,0.00548031222981115,0.007006602504019427,8.552747043906424e-4,5.10135561592709e-4,0.006676269764201852,0.006472456015166708,0.0015262902742082763,-3.451391427979335e-4,2006-07,2006,full,P. Chidambaram,INC,12530,INC,0.2772925698463585,-0.7458852423454723
bs197273,0.009526344898955864,0.001787634468570791,9.440111795411041e-4,0.0015808166317962174,0.00695378897058523,0.005261603506336307,-0.007738710430385072,6.368054522551133e-4,1972-73,1972,full,Yashwantrao Chavan,INC,8919,INC,-1.5801052919437788,-0.22900817037462107
bs200001,0.01170456195858389,0.014021970819736999,0.0011261634152097014,0.0025740596111984678,0.004383423792716399,0.0029384039964304165,0.002317408861153109,0.0014478961959887664,2000-01,2000,full,Yashwant Sinha,BJP,14138,BJP,0.43589179921125926,0.19793466411499963
bs196364,0.001450180271752246,0.0023400674307931767,0,0.0011312397403518493,6.278825776618625e-4,0.0048937626060734304,8.898871590409306e-4,0.0011312397403518493,1963-64,1963,full,T.T. Krishnamachari,INC,10372,INC,0.14970987200993216,0.03125269200084437
bs200405,0.006264145550306192,0.009614857261483428,4.137673075558065e-4,3.7956912615388097e-4,0.005908626194376808,0.0035609040167854248,0.003350711711177236,-3.419818140192553e-5,2004-05,2004,full,P. Chidambaram,INC,12907,INC,0.6430428362602852,-0.5822117983529549
bs200506,0.008203098340617348,0.007071625761912577,0,9.496956470457276e-4,0.006906082176252778,0.005974004976478952,-0.0011314725787047704,9.496956470457276e-4,2005-06,2005,full,P. Chidambaram,INC,13525,INC,-0.25552153320044935,-0.0643086867718571
bs196970,0.001722615403931957,0.004061264350559105,0,0.0010512044539921902,0.007581550985544327,0.0031692218098888177,0.0023386489466271487,0.0010512044539921902,1969-70,1969,full,Morarji Desai,INC,6436,INC,0.44014989811503613,-0.010876369736793049
bs197071,0.008390961357057048,0.004401131538088653,0,0.0017589161365199717,0.004729879010477665,0.0021660262826716467,-0.003989829818968395,0.0017589161365199717,1970-71,1970,full,Indira Gandhi,INC,7494,INC,-0.8285497277548108,0.3616496812312485
bs195758,0.0029427620752960795,0.005021888390076756,0,8.358685439627733e-4,0.0018569148831010134,0.0028203986902511262,0.0020791263147806765,8.358685439627733e-4,1957-58,1957,full,T.T. Krishnamachari,INC,13036,INC,0.388122186855521,-0.12422512202578638
